dim1,dim2,channel,value
3,12,4,19.0178
3,12,2,39.8838
3,12,1,98.8287
3,12,0,10.4126
3,15,7,1.90764
3,15,4,49.3997
3,15,2,78.1594
3,15,1,126.785
3,18,4,49.6033
3,18,2,61.7313
3,18,1,71.0778
3,21,4,19.5897
3,21,2,17.7636
3,21,1,13.604
6,6,7,6.04763
6,6,2,18.8448
6,6,1,52.419
6,6,0,4.52946
6,9,7,19.5513
6,9,2,75.1016
6,9,1,164.714
6,12,7,43.712
6,12,4,14.7246
6,12,2,171.352
6,12,1,284.927
6,15,7,89.6298
6,15,4,37.3328
6,15,2,213.864
6,15,1,284.736
6,18,7,63.3963
6,18,4,69.9677
6,18,2,186.373
6,18,1,215.782
6,21,7,23.5887
6,21,4,55.7246
6,21,2,86.8759
6,21,1,57.0152
9,6,7,7.78292
9,6,2,32.3841
9,6,1,88.6756
9,6,0,0.302807
9,9,7,29.0857
9,9,2,127.398
9,9,1,235.888
9,12,7,65.9969
9,12,4,35.0373
9,12,2,180.869
9,12,1,231.161
9,15,7,44.5934
9,15,4,6.18064
9,15,2,152.076
9,15,1,248.281
12,9,7,52.4907
12,9,4,22.756
12,9,2,157.598
12,9,1,234.566
12,12,7,42.8488
12,12,4,18.4279
12,12,2,153.528
12,12,1,253.911
12,15,7,58.9917
12,15,4,43.0644
12,15,2,210.844
12,15,1,305.29
12,18,7,65.5454
12,18,4,69.2596
12,18,2,187.613
12,18,1,188.564
15,12,7,65.0759
15,12,2,180.687
15,12,1,292.39
15,15,7,78.6841
15,15,4,45.5346
15,15,2,226.997
15,15,1,293.193
15,18,7,58.6213
15,18,4,60.3481
15,18,2,162.102
15,18,1,163.697
18,12,7,39.9931
18,12,4,19.5249
18,12,2,174.951
18,12,1,293.938
18,15,7,69.1258
18,15,4,61.1971
18,15,2,211.065
18,15,1,248.422
18,18,7,55.577
18,18,4,51.2879
18,18,2,134.383
18,18,1,123.303
18,9,7,36.7592
18,9,4,24.3854
18,9,2,129.2
18,9,1,210.086
21,6,7,23.0945
21,6,2,60.8397
21,6,1,132.259
21,9,7,65.6333
21,9,2,157.864
21,9,1,243.208
21,12,7,84.966
21,12,4,17.5062
21,12,2,203.855
21,12,1,259.34
21,15,7,69.8883
21,15,4,32.3656
21,15,2,151.591
21,15,1,147.661
21,3,2,8.05622
21,3,1,32.5786
24,3,3,0.403824
24,3,2,1.38615
24,3,1,5.48682
24,6,3,0.907403
24,6,2,13.959
24,6,1,31.0479
24,9,7,11.5837
24,9,3,13.111
24,9,2,39.4635
24,9,1,60.0666
9,18,7,66.5643
9,18,4,54.0865
9,18,2,196.875
9,18,1,240.742
9,21,7,38.7745
9,21,4,48.7816
9,21,2,92.7379
9,21,1,53.9199
12,6,7,9.7384
12,6,2,41.7748
12,6,1,121.472
12,6,0,1.93597
12,21,7,22.6575
12,21,4,37.2051
12,21,2,62.932
12,21,1,41.5672
15,6,7,9.6654
15,6,2,60.8178
15,6,1,144.152
15,9,7,57.9446
15,9,4,8.97583
15,9,2,142.649
15,9,1,197.775
15,21,7,23.0406
15,21,4,29.8901
15,21,2,59.4643
15,21,1,40.7326
18,6,7,25.9916
18,6,2,77.3402
18,6,1,146.038
6,3,7,0.694427
6,3,2,2.6107
6,3,1,11.1744
6,3,0,2.15578
9,3,7,1.01474
9,3,2,4.55046
9,3,1,16.8985
9,3,0,1.16837
12,3,7,0.0553314
