dim1,dim2,channel,value
1,6,0,10.4126
3,3,0,5.33092
4,3,0,1.29285
6,3,0,1.93597
3,1,0,2.15578
4,1,0,1.48979
6,1,0,4.95134
7,1,0,8.21431
9,1,0,6.60481
1,4,0,7.57228
1,1,0,0.62234
1,3,0,3.14897
0,7,0,1.80969
0,6,0,2.9538
0,4,0,0.667909
9,0,0,2.63037
10,0,0,1.38606
3,0,0,1.14808
7,0,0,0.571979
1,5,0,10.9699
7,2,0,7.18728
9,2,0,1.24571
3,2,0,3.79917
4,2,0,1.73186
4,0,0,1.47867
6,0,0,0.429991
6,2,0,7.07158
1,0,0,0.0229311
1,2,0,1.51085
12,0,0,0.145201
0,5,0,0.760003
1,7,0,3.23647
3,4,0,3.33346
10,1,0,2.87878
12,1,0,0.343699
0,10,0,0.055542
2,6,0,4.49884
2,3,0,7.55386
2,4,0,8.31668
5,3,0,4.12432
2,1,0,1.68269
5,1,0,1.90966
8,1,0,8.50337
11,0,0,0.596821
0,3,0,0.518462
8,0,0,2.30132
2,5,0,10.6412
8,2,0,5.06257
2,2,0,3.52056
5,0,0,0.783566
5,2,0,5.74715
2,0,0,0.748438
2,12,0,0.0560294
0,11,0,0.0370712
0,2,0,0.0905156
11,1,0,1.20625
1,12,0,0.0155058
1,6,1,118.749
1,7,1,128.165
1,9,1,71.0778
1,10,1,26.7559
3,3,1,103.81
3,4,1,198.32
3,6,1,295.675
3,7,1,288.321
3,9,1,240.724
3,10,1,120.703
4,3,1,138.763
4,4,1,235.888
4,6,1,260.237
4,7,1,259.994
6,4,1,234.566
6,6,1,311.32
6,7,1,324.009
6,9,1,188.564
7,6,1,322.322
7,7,1,326.09
7,9,1,169.229
9,6,1,307.361
9,7,1,287.193
9,9,1,123.303
9,4,1,242.232
10,3,1,188.085
10,4,1,257.128
10,6,1,299.492
10,7,1,240.055
10,1,1,40.9884
12,1,1,5.48682
12,3,1,43.3064
12,4,1,60.0666
4,9,1,248.949
4,10,1,119.989
6,3,1,190.943
6,10,1,78.0776
7,3,1,191.039
7,4,1,212.821
7,10,1,75.1621
9,3,1,189.49
3,1,1,14.4809
4,1,1,17.3592
6,1,1,14.9627
7,1,1,24.4219
10,9,1,76.0508
12,7,1,37.536
